dialog,time,num_utterances,utterances_per_turn
B49-A4-C1-1523747329139,4.204106668631236,0,0.0
B49-A4-C10-1523752221621,5.342951051394144,0,0.0
B49-A4-C11-1523752554392,8.674616515636444,0,0.0
B49-A4-C12-1523753087058,3.9516202012697854,0,0.0
B49-A4-C13-1523827975616,4.151264135042826,0,0.0
B49-A4-C14-1523828236863,4.835152165095011,0,0.0
B49-A4-C15-1523828539138,2.8824917316436767,0,0.0
B49-A4-C16-1523828816360,10.384348034858704,0,0.0
B49-A4-C17-1523829451777,4.887211215496063,0,0.0
B49-A4-C19-1523829925128,3.0820040345191955,0,0.0
B49-A4-C2-1523747593528,6.880284818013509,0,0.0
B49-A4-C20-1523830588580,4.823004750410716,0,0.0
B49-A4-C21-1523830890130,9.536740748087565,0,0.0
B49-A4-C3-1523748018556,4.281264984607697,0,0.0
B49-A4-C4-1523748287642,2.7981513500213624,0,0.0
B49-A4-C5-1523750441147,3.370033586025238,0,0.0
B49-A4-C6-1523750655542,2.303881347179413,0,0.0
B49-A4-C7-1523750805930,4.2720285336176556,0,0.0
B49-A4-C8-1523751074427,6.028285531202952,0,0.0
B49-A4-C9-1523751935030,4.573795767625173,0,0.0
